Vraag;Antwoord
Wat is het beste filterdoekmateriaal;Filterdoek is verkrijgbaar in G3 en G4. G4 filtert meer stofdeeltjes dan G3. Sommige filterdoeken bevatten actieve kool voor extra geurfiltering.
Wat is een afvoerventiel;Een afvoerventiel regelt de afvoer van lucht uit een ruimte en draagt bij aan een gezond binnenklimaat.
Hoe ver moet een ventilatieventiel open zijn;Een ventilatieventiel mag nooit volledig gesloten worden. Door het ventiel verder open of dicht te draaien wordt de hoeveelheid lucht geregeld.
Hoe maak ik een afvoerventiel schoon;Maak een afvoerventiel minimaal twee keer per jaar schoon. Haal het ventiel voorzichtig los, reinig het met lauw water en een zachte doek, laat het goed drogen en plaats het ventiel terug op dezelfde plek.
Hoe weet ik welk filter waar geplaatst moet worden;In een WTW-systeem zijn er altijd twee luchtstromen: toevoer en afvoer. De afvoer is de lucht die uit de woning wordt gezogen en komt altijd uit de traditionele natte ruimtes zoals het toilet, de keuken en de badkamer. Hier zit geen toevoer. De toevoer is de lucht die van buiten de woning naar binnen wordt gebracht. Wanneer je de WTW-filters vervangt, zie je vrijwel altijd dat één filter duidelijk zwarter en vuiler is dan de andere. Dit is het filter dat de buitenlucht heeft gefilterd. Dit filter plaats je altijd op de toevoerpositie en dit is ook altijd het filter met de hoogste filterklasse, omdat je de lucht die de woning binnenkomt zo schoon mogelijk wilt houden. De andere filter wordt gebruikt voor de afvoer. Hiervoor is een groffilter voldoende, omdat deze lucht de woning verlaat en vooral bedoeld is om de WTW-unit te beschermen met zo min mogelijk weerstand. Controleer daarom altijd visueel hoe de oude filters eruitzien voordat je ze vervangt. Aan de hand van het verschil in vervuiling weet je precies welk filter waar hoort te zitten
Kan ik bij jullie afhalen / hebben jullie een winkel;Tops filters is een webshop en heeft geen fysieke winkel of afhaallocatie. Bestellingen kunnen uitsluitend online worden geplaatst en worden verzonden naar het opgegeven afleveradres. Afhalen is niet mogelijk.
Hoe gaan wij om met klantvragen;Wij beantwoorden vragen altijd op basis van vaste processen en duidelijke uitleg. We nemen de tijd om uit te leggen hoe iets werkt en wat de klant zelf kan controleren. De informatie op de website, FAQ en productpagina’s is altijd leidend.
Geven wij korting als oplossing;Nee. Wij geven geen korting of financiële compensatie als oplossing voor vragen, vertragingen of onduidelijkheden. We lossen zaken op via onze vaste processen.
Beloven wij snellere levering;Nee. Wij beloven nooit een snellere levering dan de gecommuniceerde levertijd. We houden ons aan de aangegeven verzend- en levertijden en wijken hier niet van af.
Sturen wij zomaar een nieuw pakket;Nee. Wij sturen alleen een nieuw pakket wanneer vaststaat dat een zending daadwerkelijk verloren is. Een kleine vertraging of gebrek aan trackingbeweging is geen reden voor een nieuwe verzending.
Maken wij uitzonderingen per klant;Nee. Wij werken niet met uitzonderingen. Alle klanten volgen hetzelfde proces. Dit zorgt voor duidelijkheid en eerlijkheid.
Wijzigen wij bestellingen handmatig;Nee. Bestellingen worden automatisch verwerkt en kunnen niet handmatig worden aangepast. Wij verwijzen altijd naar de bestaande opties zoals retourneren of opnieuw bestellen.
Bieden wij alternatieve merken aan;Nee. Wij bieden uitsluitend originele filters en filters van ons eigen TOPS-merk aan. We spreken niet over alternatieven of vergelijkbare producten.
Doen wij aannames over fouten;Nee. Wij doen geen aannames over fouten bij vervoerders, producten of systemen. We baseren antwoorden altijd op feitelijke status en vastgestelde informatie.
Hoe communiceren wij over vertraging;Wij leggen rustig uit dat leveringen soms een kleine vertraging kunnen hebben. We benoemen duidelijke tijdslijnen en geven pas vervolgacties wanneer deze overschreden zijn.
Hoe lossen wij problemen op;Wij lossen problemen op door het volgen van vaste stappen: controleren, beoordelen en pas daarna handelen. We beloven geen uitkomst vooraf.
Hoe houden wij communicatie consistent;Website, FAQ, e-mail en AI gebruiken altijd dezelfde uitleg en antwoorden. Wat op de website staat is leidend.
Welke toon gebruiken wij;Wij communiceren rustig, feitelijk en duidelijk. Niet commercieel, niet defensief en niet belovend.
Wat doen wij bij twijfel;Bij twijfel leggen wij het proces uit en laten wij zien welke stappen worden gevolgd. We doen geen open toezeggingen.
Wat beloven wij nooit;Wij beloven nooit korting, compensatie, snellere levering of uitzonderlijke oplossingen buiten het proces.
Wat is onze kernvisie in communicatie;Wij helpen klanten door duidelijke uitleg en vaste processen, niet door uitzonderingen of beloftes.
Wat zijn de verzendkosten voor Oostenrijk?;In Oostenrijk bedragen de verzendkosten € 7,95 bij bestellingen tot € 100,00. Vanaf € 100,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor België?;In België bedragen de verzendkosten € 4,95 bij bestellingen tot € 50,00. Vanaf € 50,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Bosnië en Herzegovina?;In Bosnië en Herzegovina bedragen de verzendkosten € 35,95 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Bulgarije?;In Bulgarije bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Kroatië?;In Kroatië bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Tsjechië?;In Tsjechië bedragen de verzendkosten € 15,95 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Denemarken?;In Denemarken bedragen de verzendkosten € 11,95 bij bestellingen tot € 100,00. Vanaf € 100,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Estland?;In Estland bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Finland?;In Finland bedragen de verzendkosten € 18,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Frankrijk?;In Frankrijk bedragen de verzendkosten € 7,95 bij bestellingen tot € 75,00. Vanaf € 75,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Duitsland?;In Duitsland bedragen de verzendkosten € 4,95 bij bestellingen tot € 50,00. Vanaf € 50,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Griekenland?;In Griekenland bedragen de verzendkosten € 45,95 bij bestellingen tot € 250,00. Vanaf € 250,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Hongarije?;In Hongarije bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor IJsland?;In IJsland bedragen de verzendkosten € 53,95 bij bestellingen tot € 300,00. Vanaf € 300,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Ierland?;In Ierland bedragen de verzendkosten € 11,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Italië?;In Italië bedragen de verzendkosten € 9,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Letland?;In Letland bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Liechtenstein?;In Liechtenstein bedragen de verzendkosten € 13,95 bij bestellingen tot € 100,00. Vanaf € 100,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Litouwen?;In Litouwen bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Luxemburg?;In Luxemburg bedragen de verzendkosten € 7,95 bij bestellingen tot € 100,00. Vanaf € 100,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Monaco?;In Monaco bedragen de verzendkosten € 15,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Polen?;In Polen bedragen de verzendkosten € 9,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Portugal?;In Portugal bedragen de verzendkosten € 24,65 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Roemenië?;In Roemenië bedragen de verzendkosten € 15,55 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Servië?;In Servië bedragen de verzendkosten € 36,28 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Slowakije?;In Slowakije bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Slovenië?;In Slovenië bedragen de verzendkosten € 18,25 bij bestellingen tot € 200,00. Vanaf € 200,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Spanje?;In Spanje bedragen de verzendkosten € 11,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Zweden?;In Zweden bedragen de verzendkosten € 15,95 bij bestellingen tot € 150,00. Vanaf € 150,00 is de verzending kosteloos.
Wat zijn de verzendkosten voor Nederland?;In Nederland bedragen de verzendkosten € 4,95 bij bestellingen tot € 50,00. Vanaf € 50,00 is de verzending kosteloos.
